fecha,tipo,precio,monto,asset,fiat,metodos_pago
2026-08-14T13:45:04.040327,SELL,876.00000000,2.56000000,USDT,VES,"Pago Movil, Banesco"
2026-08-14T13:45:03.720156,BUY,893.00000000,2000.00000000,USDT,VES,"R4 Banco Microfinanciero, Banco de Venezuela, Bank Transfer"
2026-08-14T13:15:04.025245,SELL,873.00000000,997.50000000,USDT,VES,BNC Banco Nacional de Crédito
2026-08-14T13:15:03.710449,BUY,893.00000000,2000.00000000,USDT,VES,"R4 Banco Microfinanciero, Banco de Venezuela, Bank Transfer"
2026-08-14T12:45:04.006638,SELL,872.00000000,99.75000000,USDT,VES,"BNC Banco Nacional de Crédito, Pago Movil"
2026-08-14T12:45:03.700151,BUY,893.00000000,2000.00000000,USDT,VES,"R4 Banco Microfinanciero, Banco de Venezuela, Bank Transfer"
2026-08-14T12:15:04.102282,SELL,875.00000000,99.75000000,USDT,VES,"Banesco, Pago Movil"
2026-08-14T12:15:03.799038,BUY,893.00000000,2000.00000000,USDT,VES,"R4 Banco Microfinanciero, Banco de Venezuela, Bank Transfer"
2026-08-14T11:45:04.014962,SELL,875.99900000,2663.54000000,USDT,VES,Banesco
2026-08-14T11:45:03.704452,BUY,893.00000000,2000.00000000,USDT,VES,"R4 Banco Microfinanciero, Banco de Venezuela, Bank Transfer"
2026-08-14T11:15:03.970219,SELL,878.00000000,2124.68000000,USDT,VES,Banesco
2026-08-14T11:15:03.666520,BUY,893.00000000,2000.00000000,USDT,VES,"R4 Banco Microfinanciero, Banco de Venezuela, Bank Transfer"
2026-08-14T10:45:04.091202,SELL,881.79000000,308.28000000,USDT,VES,Banesco
2026-08-14T10:45:03.785252,BUY,893.00000000,2000.00000000,USDT,VES,"R4 Banco Microfinanciero, Banco de Venezuela, Bank Transfer"
2026-08-14T10:15:04.152532,SELL,881.00000000,261.84000000,USDT,VES,Pago Movil
2026-08-14T10:15:03.784911,BUY,893.00000000,2000.00000000,USDT,VES,"R4 Banco Microfinanciero, Banco de Venezuela, Bank Transfer"
2026-08-14T09:45:06.169935,SELL,884.90000000,698.25000000,USDT,VES,"Mercantil, Pago Movil"
2026-08-14T09:45:05.866382,BUY,893.00000000,2000.00000000,USDT,VES,"R4 Banco Microfinanciero, Banco de Venezuela, Bank Transfer"
2026-08-14T09:20:02.263767,SELL,885.00000000,99.75000000,USDT,VES,Bancamiga
2026-08-14T09:20:01.909160,BUY,893.00000000,2000.00000000,USDT,VES,"R4 Banco Microfinanciero, Banco de Venezuela, Bank Transfer"
2026-08-14T08:45:05.377593,SELL,882.00000000,498.75000000,USDT,VES,Banesco
2026-08-14T08:45:05.066611,BUY,893.00000000,2000.00000000,USDT,VES,"R4 Banco Microfinanciero, Banco de Venezuela, Bank Transfer"
2026-08-14T08:15:05.489704,SELL,884.00000000,99.75000000,USDT,VES,"Provincial, Pago Movil"
2026-08-14T08:15:05.108914,BUY,893.00000000,2000.00000000,USDT,VES,"R4 Banco Microfinanciero, Banco de Venezuela, Bank Transfer"
2026-08-14T00:00:32.750984,SELL,866.90000000,1996.50000000,USDT,VES,Mercantil
2026-08-14T00:00:32.441315,BUY,893.00000000,2000.00000000,USDT,VES,"R4 Banco Microfinanciero, Banco de Venezuela, Bank Transfer"
2026-08-13T23:30:32.759256,SELL,885.00000000,143.79000000,USDT,VES,Mercantil
